Time_Stamps,AC_CabinTemp,AC_CabinTemp_FC,VEC,VEC_FC,VS
92,31.27,23.01,0.75,0.74,74.94
93,31.89,23.38,0.22,0.28,64.03
94,29.3,28.41,0.07,0.38,41.59
95,32.02,24.09,0.72,0.2,67.86
96,28.42,34.72,0.39,0.97,54.89
97,28.8,24.06,0.77,0.52,27.57
98,27.56,28.34,0.45,0.9,64.63
99,22.33,26.73,0.35,0.35,20.42
100,23.4,30.31,0.45,0.86,69.4
101,22.41,23.68,0.75,0.05,0.31
102,30.27,27.59,0.9,0.98,54.88
103,26.09,25.57,0.05,0.91,40.11
104,28.61,33.54,0.52,0.36,30.31
105,33.8,22.53,0.03,0.77,51.57
106,25.24,33.88,0.47,0.75,64.53
107,27.33,32.83,0.89,0.9,96.53
108,31.82,25.87,0.36,0.31,83.31
109,24.97,32.26,0.93,0.47,71.71
110,23.0,22.41,0.63,0.86,47.9
111,25.77,34.57,0.93,0.78,39.21
112,24.1,28.85,0.76,0.39,3.25
113,34.09,25.94,0.1,0.85,35.91
114,32.51,26.71,0.23,0.05,84.84
115,30.23,22.86,0.39,0.78,38.4
116,33.33,34.86,0.17,0.21,46.16
117,32.45,22.51,0.49,0.29,27.18
118,24.43,30.51,0.47,0.49,27.41
119,33.6,27.76,0.96,0.45,6.19
120,29.01,34.34,0.43,0.52,61.38
121,32.5,25.2,0.79,0.54,44.81
122,33.65,28.92,0.94,0.33,60.6
123,26.13,28.27,0.88,0.18,54.69
124,23.43,31.14,0.21,0.77,79.88
125,24.96,22.88,0.5,0.4,75.1
126,27.55,24.52,0.35,0.51,77.15
127,32.63,24.79,0.4,0.64,49.92
128,33.19,31.6,0.36,0.91,35.39
129,22.09,24.46,0.83,0.71,93.34
130,28.64,29.46,0.45,0.05,5.43
131,27.43,24.8,0.52,0.84,15.26
132,24.89,33.2,0.98,0.99,41.96
133,23.56,34.25,0.06,0.47,61.4
134,26.39,28.74,0.49,0.97,0.82
135,34.26,26.58,0.77,0.55,71.93
136,26.2,25.04,0.15,0.46,55.87
137,28.74,22.65,0.61,0.33,48.47
138,31.14,25.49,0.24,0.66,42.35
139,26.73,30.51,0.87,0.23,51.95
140,34.63,28.94,0.33,0.1,16.18
141,34.51,34.27,0.33,0.03,10.87
142,25.27,27.15,0.6,0.29,28.96
143,28.46,31.02,0.18,0.4,70.95
144,25.91,28.36,0.28,0.55,58.83
145,25.7,28.66,0.42,0.29,48.01
146,22.48,25.48,0.35,0.98,57.15
147,29.92,27.91,0.52,0.29,55.93
148,28.53,28.12,0.6,0.44,30.7
149,22.67,31.19,0.57,0.1,9.75
150,25.62,34.23,0.65,0.26,89.68
151,33.81,26.28,0.31,0.05,59.99
152,25.11,22.55,0.13,0.56,69.77
153,23.88,28.45,0.76,0.75,46.4
154,28.36,29.08,0.85,0.2,75.65
155,34.81,24.19,0.26,0.37,58.45
156,25.15,31.89,0.41,0.02,5.38
157,30.74,34.8,0.5,0.84,89.01
158,31.9,34.3,0.53,0.78,30.55
159,25.09,24.56,0.66,0.06,13.79
160,31.47,33.38,0.04,0.36,8.8
161,26.78,31.16,0.72,0.96,72.04
162,30.22,27.9,0.06,0.39,70.4
163,30.24,29.03,0.47,0.53,70.02
164,28.97,33.04,0.83,0.36,91.58
165,23.17,28.24,0.45,0.6,34.89
166,32.86,26.85,0.15,0.98,56.11
167,26.17,28.41,0.99,1.0,61.95
168,24.42,29.53,0.89,0.77,97.95
169,22.53,24.46,0.77,0.4,31.23
170,29.68,33.71,0.41,0.49,95.63
171,30.81,30.76,0.18,0.36,14.87
172,22.22,30.23,0.94,0.99,76.4
173,28.66,23.29,0.53,0.71,63.29
174,24.94,29.85,0.85,0.45,81.69
175,30.39,23.57,0.34,0.01,2.87
176,24.27,23.02,0.34,0.52,7.81
177,30.98,28.86,0.99,0.98,6.97
178,27.03,27.24,0.52,0.52,59.3
179,34.18,29.65,0.14,0.18,60.29
180,23.79,23.16,0.22,0.02,90.61
181,26.43,27.6,0.48,0.35,46.76
182,23.48,24.27,0.04,0.92,6.8
183,34.02,34.83,0.46,1.0,20.95
184,33.41,29.29,0.42,0.95,0.81
185,25.35,30.94,0.78,0.73,77.67
186,30.58,26.23,0.35,0.56,81.56
187,32.62,23.23,0.98,0.59,99.79
188,29.22,34.69,0.18,0.54,41.22
189,28.89,25.72,0.59,0.71,1.93
190,25.14,27.51,0.09,0.42,23.47
191,23.21,30.45,0.73,0.67,58.78
192,33.66,22.32,0.99,0.12,96.19
193,33.71,32.53,0.82,0.27,10.36
194,30.23,28.98,0.56,0.84,12.16
195,26.41,25.62,0.48,0.9,70.18
196,26.54,22.8,0.84,0.54,66.72
197,31.44,24.11,0.94,0.03,25.05
198,33.66,33.64,0.99,0.93,81.31
199,33.53,30.92,0.4,0.7,12.88
200,32.14,25.25,0.99,0.41,92.57
201,30.35,22.85,0.16,0.6,20.1
202,23.09,30.98,0.25,0.43,8.14
203,24.1,29.44,0.09,0.47,33.95
204,33.68,27.26,0.27,0.89,18.78
205,29.88,26.73,0.77,0.16,52.69
206,22.12,24.82,0.85,0.1,68.68
207,23.32,30.7,0.78,0.0,49.09
208,30.63,34.62,0.63,0.31,66.06
209,22.07,24.28,0.51,0.15,36.49
210,24.09,29.76,0.71,0.22,2.79
211,29.13,27.51,0.39,0.01,97.41
212,30.99,27.81,0.84,0.23,81.94
213,30.48,25.3,0.68,0.33,7.34
214,24.92,32.73,0.7,0.03,44.92
215,31.26,28.31,0.54,0.61,63.5
216,25.08,29.06,0.89,0.57,19.06
217,26.23,25.96,0.25,0.1,57.8
218,31.7,24.36,0.38,0.6,53.36
219,30.45,23.12,0.78,1.0,20.83
220,33.04,31.28,0.49,0.94,14.12
221,30.55,24.55,0.89,0.0,75.9
222,29.39,30.97,0.35,0.8,32.26
223,23.22,27.07,0.37,0.35,24.4
224,26.78,27.41,0.89,0.06,73.79
225,25.45,28.1,0.46,0.3,73.61
226,25.17,26.78,0.52,0.32,27.64
227,34.65,23.31,0.33,0.52,87.26
228,27.11,26.03,0.28,0.66,68.83
229,33.6,30.63,0.66,0.75,34.58
230,30.2,30.66,0.12,0.25,42.75
231,32.33,25.72,0.88,0.32,72.67
232,28.53,27.98,0.78,0.31,21.16
233,29.5,24.51,0.19,0.36,46.88
234,28.4,24.73,0.69,1.0,65.36
235,24.54,22.3,0.6,0.78,53.95
236,31.39,33.66,0.18,0.97,60.83
237,25.65,24.74,0.27,0.69,54.62
238,22.32,24.96,0.41,0.41,19.92
239,30.39,25.63,0.7,0.39,41.02
240,24.3,23.66,0.64,0.49,53.2
241,34.23,30.31,0.53,0.42,78.01
242,34.4,22.98,0.77,0.83,65.39
243,33.89,23.74,0.76,0.47,42.66
244,26.81,30.38,0.62,0.3,97.44
245,22.2,26.42,0.79,0.77,10.78
246,34.07,31.2,0.33,0.85,20.68
247,27.57,29.25,0.88,0.42,34.13
248,34.57,25.33,0.61,0.67,22.86
249,34.53,30.46,0.82,0.06,62.54
250,33.09,23.51,0.55,0.53,3.96
251,25.83,28.97,0.22,0.04,17.74
252,27.01,27.68,0.54,0.03,29.33
253,33.06,25.48,0.37,0.61,68.33
254,26.12,29.85,0.7,0.3,87.59
255,24.2,33.33,0.48,0.74,79.85
256,29.24,34.99,0.84,0.9,18.21
257,34.17,29.9,0.68,0.14,56.54
258,31.05,27.26,0.68,0.72,3.0
259,29.41,24.93,0.22,0.51,31.05
260,23.26,25.34,0.98,0.11,80.6
261,30.0,28.23,0.84,0.65,45.67
262,34.87,26.77,0.79,0.61,14.99
263,23.82,33.88,0.33,0.52,43.86
264,28.74,26.79,0.54,0.93,19.8
265,33.41,26.85,0.14,0.52,39.32
266,31.63,26.99,0.54,0.99,48.78
267,31.06,32.88,0.15,0.51,34.96
268,31.13,30.46,0.55,0.12,93.7
269,26.67,29.98,0.65,0.47,56.25
270,25.82,26.34,0.39,0.18,84.29
271,32.52,32.63,0.5,0.6,76.07
272,32.53,22.5,0.88,0.69,66.12
273,33.27,33.32,0.11,0.47,49.69
274,33.87,28.67,0.79,0.1,0.22
275,28.65,27.18,0.17,0.47,61.35
276,28.52,28.46,0.04,0.08,35.6
277,32.38,30.68,0.19,0.68,11.78
278,30.45,22.17,0.77,0.79,44.46
279,31.13,33.33,0.41,0.96,73.56
280,32.35,27.81,0.87,0.15,96.17
281,33.57,26.46,0.52,0.53,37.41
282,26.39,23.8,0.02,0.57,54.27
283,26.88,27.71,0.72,0.92,85.12
284,23.22,28.45,0.11,0.63,33.4
285,29.52,27.25,0.79,0.15,14.23
286,22.47,30.82,0.17,0.44,28.19
287,28.05,27.47,0.35,0.65,89.91
288,29.05,34.5,0.76,0.7,15.94
289,25.73,29.79,0.95,0.86,32.92
290,29.68,32.5,0.37,0.18,46.46
291,22.4,23.42,0.83,0.95,84.71
292,22.49,27.16,0.19,0.06,93.77
293,32.69,26.38,0.81,0.98,42.58
294,26.68,29.4,0.66,0.86,93.2
295,23.65,33.19,0.19,0.66,16.15
296,28.79,23.02,0.3,0.73,15.69
297,32.01,22.94,0.13,0.07,94.93
298,24.81,33.05,0.38,0.04,50.97
299,30.1,24.77,0.2,0.1,18.59
300,23.11,30.69,0.64,0.09,48.8
301,22.67,29.06,0.99,0.55,78.32
302,28.91,32.83,0.01,0.22,82.69
303,29.03,23.63,0.54,0.86,86.4
304,30.29,23.69,0.57,0.45,56.96
305,31.44,29.24,0.91,0.7,86.69
306,34.69,34.3,0.51,0.65,51.0
307,28.71,27.39,0.54,0.32,60.71
308,26.2,26.25,0.47,0.24,75.87
309,32.34,29.89,0.27,0.34,42.54
310,25.52,34.1,0.06,0.8,7.36
311,27.71,32.88,0.41,0.59,35.02
312,23.02,34.94,0.05,0.25,62.39
313,22.33,22.29,0.55,0.82,19.23
314,34.51,23.47,0.31,0.05,14.84
315,32.87,29.92,0.53,0.7,29.31
316,31.05,32.67,0.13,0.44,3.21
317,27.32,25.71,0.93,0.73,74.34
318,24.25,25.11,0.89,0.93,25.87
319,24.03,32.23,0.19,0.75,12.42
320,25.25,22.73,0.34,0.44,69.91
321,29.14,26.8,0.61,0.15,84.29
322,31.29,28.58,0.1,0.81,1.99
323,30.58,29.28,0.35,0.46,23.36
324,25.64,31.47,0.25,0.08,94.52
325,34.41,26.61,0.92,0.72,38.53
326,31.59,29.96,0.85,0.29,93.86
327,29.21,29.61,0.58,0.05,27.42
328,29.95,29.12,0.52,0.9,21.81
329,27.45,30.33,0.93,0.48,21.41
330,25.22,25.37,0.93,0.28,8.52
331,26.63,23.1,0.97,0.72,89.64
332,31.85,23.55,0.13,0.89,97.98
333,22.19,24.92,0.16,0.0,95.45
334,23.51,28.5,0.68,0.69,85.2
335,22.6,32.93,0.54,0.77,84.69
336,22.53,31.12,0.02,0.21,66.11
337,33.12,32.26,0.06,0.49,82.62
338,31.15,26.56,0.89,0.09,20.83
339,28.16,27.26,0.87,0.75,38.79
340,23.27,27.12,0.36,0.85,64.08
341,28.39,24.49,0.89,0.11,87.48
342,28.16,22.8,0.59,0.82,66.05
343,24.25,29.68,0.81,0.77,83.9
344,27.64,34.86,0.43,0.35,47.39
345,27.18,24.17,0.11,0.69,71.73
346,30.01,22.61,0.43,0.0,98.0
347,30.26,32.13,0.46,0.93,15.35
348,22.59,25.28,0.55,0.55,92.69
349,26.87,32.79,0.11,0.62,52.24
350,30.14,31.15,0.99,0.66,64.32
351,28.54,34.29,0.24,0.56,87.79
352,33.13,27.32,0.2,0.86,40.97
353,30.56,30.61,0.53,0.61,41.87
354,24.12,28.04,0.54,0.91,52.72
355,22.92,30.2,0.44,0.58,1.91
356,30.35,27.84,0.77,0.17,49.67
357,22.34,24.45,0.52,0.91,29.11
358,29.62,28.6,0.61,0.68,92.8
359,34.22,28.87,0.72,0.7,8.77
360,29.48,32.54,0.03,0.99,45.93
361,27.05,31.56,0.57,0.08,94.75
362,30.36,30.63,0.88,0.43,90.1
363,27.96,23.47,0.02,0.24,70.13
364,29.09,31.37,0.41,0.63,58.94
365,34.24,28.5,0.93,0.81,28.07
366,27.02,33.62,0.35,0.97,36.7
367,34.5,33.96,0.46,0.45,9.01
368,33.77,22.72,0.98,0.79,78.61
369,24.55,32.67,0.2,0.92,32.39
370,22.9,22.49,0.07,0.68,66.78
371,23.31,26.77,0.86,0.24,35.76
372,22.24,29.05,0.87,0.61,46.43
373,23.23,23.93,0.47,0.97,55.5
374,30.88,31.7,0.51,0.99,80.19
375,22.93,22.11,0.84,0.64,21.12
376,26.15,24.19,0.74,0.89,39.88
377,32.98,29.55,0.27,0.2,13.01
378,22.3,31.29,0.02,0.25,7.58
379,32.59,33.92,0.48,0.95,60.47
380,25.66,31.17,0.86,0.14,18.91
381,23.54,30.73,0.9,0.19,5.98
382,31.06,27.13,0.96,0.42,89.71
383,30.18,22.02,0.88,0.59,53.43
384,33.41,23.56,0.58,0.6,13.46
385,31.56,28.95,0.44,0.29,5.34
386,32.45,30.78,0.77,0.92,11.99
387,25.67,27.43,0.74,0.92,47.13
388,24.31,31.5,0.54,0.39,66.85
389,31.76,28.78,0.09,0.43,64.13
390,32.49,22.96,0.93,0.7,14.44
391,34.88,24.5,0.46,0.66,63.35
392,27.36,32.92,0.36,0.38,40.49
393,26.84,31.42,0.63,0.41,46.47
394,32.09,33.63,0.67,0.35,80.14
395,26.43,23.53,0.21,0.24,33.25
396,34.1,34.87,0.84,0.46,14.7
397,33.16,24.72,0.29,0.69,87.35
398,27.58,22.15,0.19,0.74,21.21
399,31.76,34.97,0.41,0.78,29.4
400,31.81,25.65,0.73,0.37,70.66
401,23.34,30.68,0.97,0.76,68.36
402,33.73,24.3,0.81,0.01,80.04
403,28.57,29.54,0.94,0.48,18.39
404,32.74,33.75,0.14,0.79,35.23
405,26.16,26.16,0.07,0.63,12.59
406,33.64,30.71,0.56,0.47,54.1
407,27.06,24.44,0.29,0.64,29.26
408,22.14,30.12,0.83,0.91,68.89
409,33.77,26.37,0.67,0.57,0.03
410,23.19,24.75,0.97,0.8,5.97
411,26.15,26.07,0.25,0.98,43.26
412,34.35,24.32,0.49,0.71,95.82
413,34.36,33.72,0.5,0.57,89.09
414,29.45,27.16,0.24,0.04,99.4
415,30.21,25.19,0.59,0.37,41.68
416,27.83,27.83,0.44,0.57,4.66
417,25.81,26.17,0.45,0.8,30.6
418,26.27,31.68,0.36,0.44,67.58
419,30.74,34.63,0.02,0.96,13.52
420,31.78,27.69,0.52,0.27,30.0
421,32.29,33.19,0.34,0.74,5.62
422,32.27,29.36,0.0,0.42,47.5
423,23.19,24.04,0.31,0.49,20.89
424,28.43,30.98,0.28,0.8,9.12
425,22.75,28.67,0.39,0.3,41.12
426,29.14,30.46,0.13,0.1,35.12
427,27.74,33.57,0.51,0.52,53.75
428,33.54,27.73,0.69,0.53,74.9
429,26.56,33.72,0.63,0.8,11.26
430,23.52,31.76,0.8,0.97,79.11
431,23.86,28.35,0.45,0.06,2.63
432,31.9,29.84,0.52,0.59,44.31
433,30.04,26.23,0.81,0.68,58.74
434,23.31,34.79,0.43,0.99,95.7
435,23.09,30.68,0.7,0.94,57.39
436,31.11,22.57,0.43,0.71,15.87
437,22.95,26.25,0.42,0.52,51.75
438,32.68,30.1,0.76,0.16,39.58
439,31.18,22.73,0.17,0.38,47.94
440,23.06,22.31,0.34,0.59,19.71
441,23.1,27.85,0.22,0.73,50.08
442,34.83,26.32,0.36,0.64,15.0
443,26.87,27.7,0.23,0.71,74.4
444,26.82,25.42,0.58,0.43,59.39
445,32.57,24.14,0.8,0.73,7.85
446,34.31,30.96,0.79,0.14,88.96
447,34.82,28.69,0.36,0.16,61.64
448,31.79,24.6,0.99,0.16,31.61
449,26.89,26.15,0.59,0.89,4.56
450,23.09,29.69,0.4,0.08,63.22
451,32.1,22.94,0.84,0.8,37.34
452,29.26,23.92,0.73,0.23,90.76
453,27.51,22.95,0.75,0.47,3.49
454,33.78,32.56,0.2,0.92,3.91
455,23.45,31.78,0.47,0.59,94.93
456,28.4,31.79,0.86,0.21,96.49
457,22.15,31.31,0.5,0.28,2.77
458,28.09,30.7,0.68,0.92,71.6
459,22.73,28.2,0.59,0.43,22.15
460,23.54,30.35,0.84,0.59,70.14
461,23.53,22.5,0.28,0.46,86.87
462,30.44,30.08,0.58,0.38,10.08
463,31.7,32.11,0.12,0.22,23.88
464,29.58,28.5,0.69,0.69,2.41
465,34.51,26.65,0.73,0.72,4.38
466,26.87,25.61,0.04,0.27,2.96
467,25.71,30.36,0.68,0.79,80.07
468,33.29,31.01,0.41,0.85,29.83
469,24.91,33.32,0.12,0.92,49.32
470,34.52,26.45,0.42,0.16,78.78
471,22.16,32.01,0.19,0.3,49.49
472,34.61,29.3,0.42,0.86,42.92
473,22.56,33.48,0.38,0.2,1.16
474,33.58,28.86,0.74,0.0,56.8
475,28.86,28.73,0.77,0.87,12.47
476,34.91,29.51,0.61,0.33,76.46
477,22.96,31.74,0.02,0.41,25.77
478,29.2,34.54,0.93,0.45,67.42
479,34.6,22.96,0.69,0.85,64.62
480,28.8,22.69,0.03,0.34,61.67
481,30.18,34.19,0.82,0.89,26.7
482,31.04,28.89,0.2,0.62,26.71
483,27.91,29.99,0.58,0.53,86.3
484,30.16,28.27,0.47,0.33,1.28
485,29.6,23.22,0.42,0.24,18.15
486,33.72,31.99,0.89,0.62,61.02
487,22.59,31.71,0.44,0.45,81.7
488,25.65,26.05,0.08,0.91,35.83
489,34.36,25.98,0.95,0.49,65.34
490,33.57,32.89,0.92,0.51,55.72
491,27.92,22.94,0.68,0.42,6.45
492,30.06,33.45,0.47,0.79,62.18
493,25.61,25.34,0.09,0.42,81.39
494,24.45,29.71,0.79,0.27,99.24
495,28.03,34.17,0.08,0.86,2.96
496,26.59,30.82,0.07,0.6,66.01
497,29.59,27.39,0.54,0.59,41.45
498,23.01,30.96,0.16,0.61,0.98
499,34.67,26.47,0.01,0.72,61.44
500,34.82,25.6,0.42,0.31,12.24
501,31.08,34.96,0.14,0.03,37.86
502,28.97,31.76,0.16,0.81,26.14
503,26.02,30.38,0.08,0.13,36.12
504,32.58,26.62,0.21,0.72,49.27
505,30.9,22.64,0.72,0.08,35.92
506,24.11,22.4,0.81,0.38,55.27
507,33.84,29.2,0.45,0.06,23.86
508,32.69,31.91,0.51,0.52,63.54
509,34.35,28.99,0.03,0.65,85.38
510,31.43,32.93,0.07,0.17,22.41
511,29.97,22.43,0.26,0.37,50.79
512,27.44,26.77,0.54,0.93,64.87
513,34.13,25.08,0.74,0.44,56.46
514,33.26,27.81,0.61,0.8,36.56
515,22.59,22.94,0.39,0.93,64.22
516,22.34,34.4,0.12,0.97,2.82
517,26.89,24.9,0.78,0.9,36.99
518,32.54,33.99,0.36,0.32,53.26
519,34.83,27.54,0.74,0.96,2.06
520,23.96,34.81,0.51,0.81,50.76
521,29.72,29.2,0.74,0.84,65.43
522,26.95,34.1,0.91,0.02,75.92
523,34.61,22.07,0.92,0.95,11.34
524,32.95,31.73,0.54,0.78,99.06
525,32.9,33.74,0.51,0.77,60.62
526,28.09,23.82,0.27,0.08,36.32
527,27.39,23.25,0.94,0.23,24.91
528,25.55,27.52,0.46,0.96,57.29
529,22.73,34.14,0.13,0.5,88.17
530,33.24,29.05,0.43,0.4,52.06
531,32.57,28.86,0.13,0.84,66.15
532,35.0,23.83,0.5,0.09,35.77
533,34.96,22.01,0.56,0.42,38.82
534,29.22,32.53,0.34,0.38,28.62
535,32.0,23.14,0.07,0.35,70.56
536,34.28,30.24,0.94,0.31,35.92
537,33.05,33.89,0.77,0.21,19.07
538,25.22,24.71,0.84,0.17,36.94
539,27.86,30.65,0.37,0.64,85.38
540,23.68,23.02,0.76,0.92,73.83
541,34.4,29.85,0.49,0.51,33.46
542,29.88,24.13,0.2,0.3,90.68
543,24.97,31.57,0.12,0.16,7.48
544,30.73,25.92,0.35,0.83,4.98
545,30.04,28.02,0.14,0.97,12.75
546,26.66,29.79,1.0,0.35,11.65
547,23.48,24.23,0.05,0.29,8.78
548,30.73,31.64,0.44,0.6,66.13
549,28.76,25.93,0.45,0.78,60.08
550,32.04,30.61,0.3,0.46,64.76
551,28.76,24.06,0.57,0.63,68.84
552,33.08,30.95,0.15,0.72,75.69
553,29.17,23.67,0.78,0.96,20.72
554,29.29,27.53,0.33,0.17,62.23
555,33.4,25.21,0.59,1.0,58.0
556,27.25,31.73,0.72,0.39,94.37
557,23.74,25.41,0.89,0.72,23.24
558,22.37,33.46,0.84,0.57,5.87
559,31.82,33.59,0.61,0.49,65.35
560,30.06,24.55,0.39,0.7,74.02
561,31.15,29.98,0.5,0.4,28.32
562,24.77,23.14,0.77,0.13,57.08
563,23.77,27.09,0.88,0.49,5.95
564,22.19,31.27,0.1,0.52,96.0
565,26.56,30.57,0.38,0.2,10.99
566,29.67,30.12,0.78,0.94,6.76
567,27.1,25.67,0.43,0.23,4.41
568,27.69,26.91,0.33,0.41,42.73
569,33.75,23.34,0.41,0.15,9.72
570,26.53,31.35,0.6,0.54,74.46
571,28.68,28.55,1.0,0.31,89.89
572,32.19,31.21,0.49,0.49,26.02
573,27.16,25.24,0.21,0.22,62.88
574,30.09,26.22,0.16,0.05,4.23
575,33.21,26.34,0.04,0.78,38.66
576,34.34,22.33,0.56,0.64,29.29
577,23.91,26.43,0.54,0.34,22.86
578,34.05,32.44,0.21,0.05,64.47
579,28.4,33.66,0.7,0.87,13.02
580,25.36,28.74,0.74,0.17,86.07
581,27.97,27.92,0.26,0.93,66.48
582,34.74,22.4,0.34,0.48,71.07
583,28.4,33.43,0.99,0.34,93.53
584,26.27,22.17,0.37,0.74,94.24
585,30.23,34.28,0.76,0.88,55.17
586,25.12,28.36,0.45,0.37,49.54
587,22.99,26.45,0.79,0.41,33.54
588,23.68,34.01,0.77,0.43,71.56
589,23.66,22.32,0.67,0.92,53.82
590,23.97,29.56,0.85,0.69,93.29
591,23.8,29.14,0.94,0.25,23.86
592,30.33,24.85,0.58,0.18,31.03
593,24.36,27.58,0.24,0.23,31.61
594,26.49,30.48,0.4,0.26,80.6
595,33.66,31.45,0.76,0.23,9.9
596,28.16,22.01,0.65,0.66,45.56
597,30.68,34.18,0.18,0.12,42.76
598,24.24,24.14,0.05,0.39,7.31
599,24.5,25.04,0.68,0.63,41.08
600,22.53,25.43,0.25,0.29,51.34
601,24.2,22.49,0.5,0.07,6.51
602,25.62,23.6,0.75,0.08,50.99
603,24.3,34.82,0.56,0.13,95.92
604,23.15,26.1,0.08,0.84,97.89
605,23.57,23.5,0.19,0.66,53.17
606,27.99,23.39,0.22,0.06,51.51
607,24.68,31.35,0.26,0.39,28.55
608,26.74,33.11,0.57,0.28,99.71
609,28.54,25.34,0.5,0.58,27.42
610,30.98,22.27,0.2,0.52,45.29
611,22.51,24.9,0.07,0.48,0.29
612,32.39,22.73,0.17,0.31,34.92
613,30.16,23.34,0.98,0.14,7.14
614,23.06,27.61,0.47,0.74,74.38
615,33.36,24.99,0.87,0.88,56.1
616,33.97,28.71,0.85,0.94,57.22
617,22.79,25.3,0.51,0.06,28.65
618,25.6,34.23,0.71,0.74,81.49
619,32.48,33.78,0.19,0.73,0.33
620,31.73,29.37,0.69,0.95,33.36
621,24.4,26.61,0.27,0.25,65.95
622,24.72,26.95,0.83,0.74,90.79
623,26.82,27.35,0.08,0.05,23.46
624,28.3,31.46,0.77,0.63,54.11
625,30.04,27.87,0.1,0.35,53.8
626,26.8,33.14,0.88,0.77,87.42
627,28.01,34.27,0.3,0.86,5.05
628,31.72,26.37,0.65,0.36,42.45
629,22.48,29.29,0.49,0.53,18.25
630,25.28,23.24,0.37,0.12,2.15
631,31.27,24.61,0.65,0.42,14.7
632,33.64,27.38,0.95,0.36,97.65
