time,compressor power,compressor mark,AC PTC power,AC PTC mark,battery PTC power,battery PTC mark,MCU front power,MCU front mark,MCU rear power,MCU rear mark,DCDC power,DCDC mark,fan power,fan mark,water pump power,water pump mark,blower power,blower mark,others power,others mark,battery power,battery mark,mechanical ratio,low voltage ratio,high voltage ratio,MCU rear ratio,battery PTC ratio,AC PTC ratio,MCU front ratio,compressor ratio
32,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.29 ,49.60 ,0,0
33,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.31 ,49.58 ,0,0
34,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.32 ,49.57 ,0,0
35,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.34 ,49.56 ,0,0
36,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.35 ,49.54 ,0,0
37,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.36 ,49.53 ,0,0
38,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.36 ,49.53 ,0,0
39,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.36 ,49.54 ,0,0
40,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.35 ,49.54 ,0,0
41,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.34 ,49.55 ,0,0
42,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.34 ,49.55 ,0,0
43,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.33 ,49.56 ,0,0
44,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.32 ,49.57 ,0,0
45,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.32 ,49.57 ,0,0
46,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.31 ,49.58 ,0,0
47,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.32 ,49.57 ,0,0
48,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.32 ,49.57 ,0,0
49,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.33 ,49.56 ,0,0
50,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.34 ,49.55 ,0,0
51,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.35 ,49.54 ,0,0
52,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.36 ,49.53 ,0,0
53,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.51 ,0,0
54,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.39 ,49.50 ,0,0
55,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.39 ,49.50 ,0,0
56,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.39 ,49.50 ,0,0
57,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.51 ,0,0
58,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.51 ,0,0
59,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.37 ,49.52 ,0,0
60,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.37 ,49.52 ,0,0
61,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.37 ,49.52 ,0,0
62,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.51 ,0,0
63,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.51 ,0,0
64,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.51 ,0,0
65,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.39 ,49.50 ,0,0
66,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.40 ,49.49 ,0,0
67,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.41 ,49.48 ,0,0
68,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.41 ,49.48 ,0,0
69,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.42 ,49.47 ,0,0
70,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.43 ,49.46 ,0,0
71,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.42 ,49.46 ,0,0
72,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.42 ,49.47 ,0,0
73,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.42 ,49.47 ,0,0
74,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.41 ,49.48 ,0,0
75,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.41 ,49.48 ,0,0
76,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.41 ,49.48 ,0,0
77,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.42 ,49.47 ,0,0
78,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.43 ,49.46 ,0,0
79,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.44 ,49.45 ,0,0
80,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.44 ,49.44 ,0,0
81,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.45 ,49.44 ,0,0
82,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.46 ,49.43 ,0,0
83,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.47 ,49.42 ,0,0
84,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.48 ,49.41 ,0,0
85,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.49 ,49.40 ,0,0
86,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.2,1,0,0,5,1,0,1.19 ,98.81 ,0,49.44 ,49.37 ,0,0
87,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.2,1,0,0,5,1,0,1.27 ,98.73 ,0,49.40 ,49.33 ,0,0
88,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.2,1,0,0,5,1,0,1.35 ,98.65 ,0,49.35 ,49.30 ,0,0
89,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.2,1,0,0,5,1,0,1.43 ,98.57 ,0,49.31 ,49.26 ,0,0
90,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.2,1,0,0,5,1,0,1.50 ,98.50 ,0,49.27 ,49.23 ,0,0
91,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,1.57 ,98.43 ,0,49.23 ,49.20 ,0,0
92,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,1.64 ,98.36 ,0,49.19 ,49.16 ,0,0
93,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,1.71 ,98.29 ,0,49.16 ,49.12 ,0,0
94,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,1.78 ,98.22 ,0,49.13 ,49.09 ,0,0
95,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,1.85 ,98.15 ,0,49.10 ,49.05 ,0,0
96,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,1.91 ,98.09 ,0,49.07 ,49.01 ,0,0
97,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,1.98 ,98.02 ,0,49.05 ,48.98 ,0,0
98,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.04 ,97.96 ,0,49.02 ,48.94 ,0,0
99,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.10 ,97.90 ,0,48.99 ,48.91 ,0,0
100,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.16 ,97.84 ,0,48.97 ,48.88 ,0,0
101,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.21 ,97.79 ,0,48.94 ,48.84 ,0,0
102,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.27 ,97.73 ,0,48.92 ,48.81 ,0,0
103,0,0,6.8,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.33 ,97.67 ,0,48.90 ,48.77 ,0,0
104,0,0,7,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.38 ,97.62 ,0,48.86 ,48.75 ,0,0
105,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.44 ,97.56 ,0,48.83 ,48.73 ,0,0
106,0,0,7,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.49 ,97.51 ,0,48.80 ,48.71 ,0,0
107,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.54 ,97.46 ,0,48.77 ,48.69 ,0,0
108,0,0,6.9,1,5,1,0,0,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0,2.59 ,97.41 ,0,48.74 ,48.67 ,0,0
109,0,0,6.8,1,5,1,0.4,1,0.6,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0.064447939,2.64 ,97.30 ,0.038668763,48.68 ,48.61 ,0.025779176,0
110,0,0,6.9,1,5,1,0.4,1,0.7,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0.133954713,2.69 ,97.18 ,0.082924346,48.63 ,48.56 ,0.051030367,0
111,0,0,6.8,1,5,1,2.8,1,3.1,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,0.503636254,2.72 ,96.77 ,0.27699994,48.42 ,48.35 ,0.226636314,0
112,0,0,6.8,1,5,1,5.4,1,6,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,1.201460084,2.75 ,96.05 ,0.644081694,48.06 ,47.98 ,0.557378389,0
113,0,0,6.9,1,5,1,7.6,1,8.5,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,2.15706338,2.77 ,95.07 ,1.148408391,47.58 ,47.50 ,1.008654989,0
114,0,0,6.9,1,5,1,7,1,7.8,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,3.002071011,2.79 ,94.21 ,1.593544652,47.14 ,47.07 ,1.408526359,0
115,0,0,6.8,1,5,1,6.3,1,6.7,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,3.716175756,2.81 ,93.47 ,1.960825754,46.78 ,46.70 ,1.755350002,0
116,0,0,6.8,1,5,1,4.6,1,5.1,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,4.224737516,2.84 ,92.94 ,2.228114992,46.51 ,46.43 ,1.996622525,0
117,0,0,6.9,1,5,1,0.7,1,1.8,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,4.325477579,2.87 ,92.80 ,2.308831078,46.45 ,46.35 ,2.0166465,0
118,0,0,6.8,1,5,1,1.8,1,2.2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,4.505969985,2.91 ,92.58 ,2.408851879,46.34 ,46.24 ,2.097118106,0
119,0,0,6.9,1,5,1,2.6,1,3.3,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,4.783831322,2.94 ,92.28 ,2.565567618,46.19 ,46.09 ,2.218263705,0
120,0,0,6.8,1,5,1,6.4,1,7.3,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,5.463866256,2.96 ,91.58 ,2.927661939,45.84 ,45.74 ,2.536204317,0
121,0,0,6.9,1,5,1,6.2,1,8.5,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,6.173415472,2.97 ,90.85 ,3.34167305,45.48 ,45.38 ,2.831742422,0
122,0,0,6.8,1,5,1,8.7,1,10.2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,7.069257414,2.98 ,89.95 ,3.824963695,45.03 ,44.92 ,3.244293719,0
123,0,0,6.9,1,5,1,6.6,1,8.6,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,7.75484009,2.99 ,89.25 ,4.215612868,44.67 ,44.58 ,3.539227222,0
124,0,0,6.9,1,5,1,5.7,1,7.9,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,8.343019501,3.01 ,88.65 ,4.561539455,44.37 ,44.28 ,3.781480046,0
125,0,0,7,1,5,1,4.8,1,6.8,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,8.821263168,3.03 ,88.15 ,4.84634389,44.12 ,44.03 ,3.974919279,0
126,0,0,6.9,1,5,1,2.7,1,5.1,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,9.113083849,3.05 ,87.84 ,5.047711452,43.96 ,43.88 ,4.065372397,0
127,0,0,6.9,1,5,1,2.4,1,5,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,9.380704146,3.07 ,87.54 ,5.240839491,43.81 ,43.74 ,4.139864655,0
128,0,0,6.9,1,5,1,2.3,1,4.9,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,9.633550577,3.10 ,87.27 ,5.425339737,43.67 ,43.60 ,4.20821084,0
129,0,0,6.9,1,5,1,3.4,1,5.4,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,9.951193851,3.12 ,86.93 ,5.625858491,43.50 ,43.43 ,4.32533536,0
130,0,0,6.9,1,5,1,3.4,1,5.3,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,10.25678561,3.14 ,86.60 ,5.816993905,43.33 ,43.27 ,4.439791705,0
131,0,0,6.9,1,5,1,3.8,1,6.2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,10.61082171,3.16 ,86.23 ,6.042934335,43.15 ,43.09 ,4.567887371,0
132,0,0,6.9,1,5,1,2.7,1,5.2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,10.86853172,3.18 ,85.96 ,6.222693344,43.01 ,42.95 ,4.645838374,0
133,0,0,6.9,1,5,1,2,1,3.7,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.03011791,3.20 ,85.77 ,6.335558005,42.91 ,42.86 ,4.694559905,0
134,0,0,6.9,1,5,1,1.3,1,2.3,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.10191857,3.23 ,85.67 ,6.387531834,42.86 ,42.81 ,4.714386737,0
135,0,0,6.9,1,5,1,1.4,1,2.2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.17249824,3.25 ,85.58 ,6.434039183,42.82 ,42.76 ,4.738459057,0
136,0,0,6.9,1,5,1,1.2,1,2.2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.23382071,3.28 ,85.49 ,6.480351266,42.77 ,42.72 ,4.753469442,0
137,0,0,6.9,1,5,1,1.5,1,1.9,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.29412868,3.30 ,85.40 ,6.51237667,42.73 ,42.68 ,4.781752005,0
138,0,0,6.9,1,5,1,1.7,1,2.2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.37325457,3.33 ,85.30 ,6.555821006,42.68 ,42.62 ,4.817433568,0
139,0,0,6.9,1,5,1,1.2,1,2.1,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.42750758,3.35 ,85.22 ,6.595861629,42.64 ,42.58 ,4.831645951,0
140,0,0,6.9,1,5,1,1.6,1,2.8,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.5236842,3.37 ,85.10 ,6.662816649,42.58 ,42.53 ,4.860867555,0
141,0,0,6.9,1,5,1,1.5,1,2,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.58356033,3.39 ,85.02 ,6.696405216,42.54 ,42.48 ,4.887155109,0
142,0,0,6.9,1,5,1,2.3,1,1.8,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.6654027,3.42 ,84.92 ,6.719064416,42.48 ,42.43 ,4.946338283,0
143,0,0,6.9,1,5,1,0.9,1,2.1,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.70425644,3.44 ,84.86 ,6.757406117,42.45 ,42.40 ,4.946850319,0
144,0,0,6.9,1,5,1,1.8,1,2.5,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.79133883,3.46 ,84.75 ,6.808423722,42.40 ,42.35 ,4.982915112,0
145,0,0,6.9,1,5,1,0.7,1,0.7,1,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.76901128,3.49 ,84.75 ,6.790951933,42.40 ,42.35 ,4.978059351,0
146,0,0,6.9,1,5,1,-3.6,0,-0.7,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.5353646,3.52 ,84.95 ,6.731066142,42.50 ,42.45 ,4.804298459,0
147,0,0,6.9,1,5,1,0.1,1,0,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.46695027,3.54 ,84.99 ,6.688705953,42.52 ,42.47 ,4.778244315,0
148,0,0,7,1,5,1,-2.6,0,-1.1,0,1.154,1,0.06,1,0.094,1,0.4,1,0,0,5,1,11.25836576,3.58 ,85.17 ,6.611065484,42.61 ,42.56 ,4.647300281,0
